ID,name,school,subschool,descriptor,spell_level,casting_time,components,costly_components,range,area,effect,targets,duration,dismissible,shapeable,saving_throw,spell_resistence,description,description_formated,,full_text,verbal,somatic,material,focus,divine_focus,sor,wiz,cleric,druid,ranger,bard,paladin,alchemist,summoner,witch,inquisitor,oracle,antipaladin,magus,deity,SLA_Level,domain,short_description,majorcaster_cost_mult,powercaster_cost_mult,caster_cost_mult,minorcaster_cost_mult,best_spell_cost,material_cost,scroll_cost,potion_cost,wand_cost,URL
432,Regenerate,Conjuration,Healing,NULL,"cleric 7, druid 9, witch 7",3 full rounds,"V, S, DF",0,Touch,NULL,NULL,Living creature touched,Instantaneous,0,0,Fortitude negates (harmless),Yes (harmless),"The subject's severed body members (fingers, toes, hands, feet, arms, legs, tails, or even heads of multiheaded creatures), broken bones, and ruined organs grow back. After the spell is cast, the physical regeneration is complete in 1 round if the severed","<p>The subject's severed body members (fingers, toes, hands, feet, arms, legs, tails, or even heads of multiheaded creatures), broken bones, and ruined organs grow back. After the spell is cast, the physical regeneration is complete in 1 round if the seve",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Regenerate</p><div style=`clear: both;`></div></div><div><h5><b>School </b>conjuration (healing); <b>Level </b>cleric 7, druid 9, witch 7</h5></div><hr/><div><h5><b>CASTING</b><",1,1,0,0,1,NULL,NULL,7,9,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,7,healing,"Subjects severed limbs grow back, cures 4d8 damage +1/level (max +35).",91,NULL,NULL,NULL,91,NULL,2275,4550,68250,http://www.d20pfsrd.com/magic/all-spells/r/regenerate
433,Reincarnate,Transmutation,NULL,NULL,"druid 4, witch 5",10 minutes,"V, S, M, DF (oils worth 1,000 gp)",1,Touch,NULL,NULL,Dead creature touched,Instantaneous,0,0,None; see text,Yes (harmless),"With this spell, you bring back a dead creature in another body, provided that its death occurred no more than 1 week before the casting of the spell and the subject's soul is free and willing to return. If the subject's soul is not willing to return, the","<p>With this spell, you bring back a dead creature in another body, provided that its death occurred no more than 1 week before the casting of the spell and the subject's soul is free and willing to return. If the subject's soul is not willing to return, ",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Reincarnate</p><div style=`clear: both;`></div></div><div><h5><b>School </b>transmutation; <b>Level </b>druid 4, witch 5</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><d",1,1,1,0,1,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,4,NULL,Brings dead subject back in a random body.,28,NULL,NULL,NULL,28,NULL,700,1400,21000,http://www.d20pfsrd.com/magic/all-spells/r/reincarnate
434,Remove Blindness/Deafness,Conjuration,Healing,NULL,"cleric 3, paladin 3, alchemist 3, witch 3",1 standard action,"V, S",0,Touch,NULL,NULL,Creature touched,Instantaneous,0,0,Fortitude negates (harmless),Yes (harmless),"Remove blindness/deafness cures blindness or deafness (your choice), whether the effect is normal or magical in nature. The spell does not restore ears or eyes that have been lost, but it repairs them if they are damaged.  Remove blindness/deafness counte","<p><i>Remove blindness/deafness</i> cures blindness or deafness (your choice), whether the effect is normal or magical in nature. The spell does not restore ears or eyes that have been lost, but it repairs them if they are damaged.</p><p><i>Remove blindne",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Remove Blindness/Deafness</p><div style=`clear: both;`></div></div><div><h5><b>School </b>conjuration (healing); <b>Level </b>cleric 3, paladin 3, alchemist 3, witch 3</h5></div",1,1,0,0,0,NULL,NULL,3,NULL,NULL,NULL,3,3,NULL,3,NULL,NULL,NULL,NULL,NULL,3,NULL,Cures normal or magical blindness or deafness.,15,NULL,15,21,15,NULL,375,750,11250,http://www.d20pfsrd.com/magic/all-spells/r/remove-blindness-deafness
435,Remove Curse,Abjuration,NULL,NULL,"bard 3, cleric 3, paladin 3, sorcerer/wizard 4, alchemist 3, witch 3, inquisitor 3",1 standard action,"V, S",0,Touch,NULL,NULL,Creature or object touched,Instantaneous,0,0,Will negates (harmless),Yes (harmless),"Remove curse can remove all curses on an object or a creature. If the target is a creature, you must make a caster level check (1d20 + caster level) against the DC of each curse affecting the target.  Success means that the curse is removed. Remove curse ","<p><i>Remove <i>curse</i></i> can remove all <i>curse</i>s on an object or a creature. If the target is a creature, you must make a caster level check (1d20 + caster level) against the DC of each <i>curse</i> affecting the target.</p><p>Success means that",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Remove Curse</p><div style=`clear: both;`></div></div><div><h5><b>School </b>abjuration; <b>Level </b>bard 3, cleric 3, paladin 3, sorcerer/wizard 4, alchemist 3, witch 3, inqui",1,1,0,0,0,4,4,3,NULL,NULL,3,3,3,NULL,3,3,NULL,NULL,NULL,NULL,4,liberation,Frees object or person from curse.,15,32,15,21,15,NULL,375,750,11250,http://www.d20pfsrd.com/magic/all-spells/r/remove-curse
436,Remove Disease,Conjuration,Healing,NULL,"cleric 3, druid 3, ranger 3, alchemist 3, witch 3, inquisitor 3, alchemist 3, witch 3, inquisitor 3",1 standard action,"V, S",0,Touch,NULL,NULL,Creature touched,Instantaneous,0,0,Fortitude negates (harmless),Yes (harmless),Remove disease can cure all diseases from which the subject is suffering. You must make a caster level check (1d20 + caster level) against the DC of each disease affecting the target. Success means that the disease is cured. The spell also kills some haza,<p><i>Remove disease</i> can cure all diseases from which the subject is suffering. You must make a caster level check (1d20 + caster level) against the DC of each disease affecting the target. Success means that the disease is cured. The spell also kills,PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Remove Disease</p><div style=`clear: both;`></div></div><div><h5><b>School </b>conjuration (healing); <b>Level </b>cleric 3, druid 3, ranger 3, alchemist 3, witch 3, inquisitor ",1,1,0,0,0,NULL,NULL,3,3,3,NULL,NULL,3,NULL,3,3,NULL,NULL,NULL,NULL,3,restoration,Cures all diseases affecting subject.,15,NULL,15,21,15,NULL,375,750,11250,http://www.d20pfsrd.com/magic/all-spells/r/remove-disease
437,Remove Fear,Abjuration,NULL,NULL,"bard 1, cleric 1, inquisitor 1",1 standard action,"V, S",0,Close (25 ft. + 5 ft./2 levels),NULL,NULL,"One creature plus one additional creature per four levels, no two of which can be more than 30 ft. apart",10 minutes; see text,0,0,Will negates (harmless),Yes (harmless),"You instill courage in the subject, granting it a +4 morale bonus against fear effects for 10 minutes. If the subject is under the influence of a fear effect when receiving the spell, that effect is suppressed for the duration of the spell.  Remove fear c","<p>You instill courage in the subject, granting it a +4 morale bonus against fear effects for 10 minutes. If the subject is under the influence of a fear effect when receiving the spell, that effect is suppressed for the duration of the spell.</p><p><i>Re",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Remove Fear</p><div style=`clear: both;`></div></div><div><h5><b>School </b>abjuration; <b>Level </b>bard 1, cleric 1, inquisitor 1</h5></div><hr/><div><h5><b>CASTING</b></h5></",1,1,0,0,0,NULL,NULL,1,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,liberation,Suppresses fear or gives +4 on saves against fear for one subject + one per four levels.,1,NULL,1,1,1,NULL,25,50,750,http://www.d20pfsrd.com/magic/all-spells/r/remove-fear
438,Remove Paralysis,Conjuration,Healing,NULL,"cleric 2, paladin 2, inquisitor 2",1 standard action,"V, S",0,Close (25 ft. + 5 ft./2 levels),NULL,NULL,"Up to four creatures, no two of which can be more than 30 ft. apart",Instantaneous,0,0,Will negates (harmless),Yes (harmless),"You can free one or more creatures from the effects of temporary paralysis or related magic, including spells and effects that cause a creature to gain the staggered condition. If the spell is cast on one creature, the paralysis is negated. If cast on two","<p>You can free one or more creatures from the effects of temporary paralysis or related magic, including spells and effects that cause a creature to gain the staggered condition. If the spell is cast on one creature, the paralysis is negated. If cast on ",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Remove Paralysis</p><div style=`clear: both;`></div></div><div><h5><b>School </b>conjuration (healing); <b>Level </b>cleric 2, paladin 2, inquisitor 2</h5></div><hr/><div><h5><b",1,1,0,0,0,NULL,NULL,2,NULL,NULL,NULL,2,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,2,liberation,Frees creatures from paralysis or slow effect.,6,NULL,NULL,8,6,NULL,150,300,4500,http://www.d20pfsrd.com/magic/all-spells/r/remove-paralysis
439,Repel Metal or Stone,Abjuration,NULL,earth,druid 8,1 standard action,"V, S",0,60 ft.,60-ft. line from you,NULL,NULL,1 round/level,1,0,None,No,This spell creates waves of invisible energy that roll forth from you. All metal or stone objects in the path of the spell are pushed away from you to the limit of the range. Fixed metal or stone objects larger than 3 inches in diameter and loose objects ,<p>This spell creates waves of invisible energy that roll forth from you. All metal or stone objects in the path of the spell are pushed away from you to the limit of the range. Fixed metal or stone objects larger than 3 inches in diameter and loose objec,PFRPG Core,<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Repel Metal or Stone</p><div style=`clear: both;`></div></div><div><h5><b>School </b>abjuration [earth]; <b>Level </b>druid 8</h5></div><hr/><div><h5><b>CASTING</b></h5></div><h,1,1,0,0,0,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,Pushes away metal and stone.,120,NULL,NULL,NULL,120,NULL,3000,6000,90000,http://www.d20pfsrd.com/magic/all-spells/r/repel-metal-or-stone
440,Repel Vermin,Abjuration,NULL,pain,"bard 4, cleric 4, druid 4, ranger 3",1 standard action,"V, S, DF",0,10 ft.,10-ft.-radius emanation centered on you,NULL,NULL,10 min./level,1,0,None or Will negates; see text,Yes,"An invisible barrier holds back vermin. A vermin with HD of less than one-third your level cannot penetrate the barrier.  A vermin with HD of one-third your level or more can penetrate the barrier if it succeeds on a Will save. Even so, crossing the barri","<p>An invisible barrier holds back vermin. A vermin with HD of less than one-third your level cannot penetrate the barrier.</p><p>A vermin with HD of one-third your level or more can penetrate the barrier if it succeeds on a Will save. Even so, crossing t",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Repel Vermin</p><div style=`clear: both;`></div></div><div><h5><b>School </b>abjuration [pain]; <b>Level </b>bard 4, cleric 4, druid 4, ranger 3</h5></div><hr/><div><h5><b>CASTI",1,1,0,0,1,NULL,NULL,4,4,3,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,"Insects, spiders, and other vermin stay 10 ft. away.",28,NULL,28,21,21,NULL,525,1050,15750,http://www.d20pfsrd.com/magic/all-spells/r/repel-vermin
441,Repel Wood,Transmutation,NULL,NULL,druid 6,1 standard action,"V, S",0,60 ft.,60-ft. line-shaped emanation from you,NULL,NULL,1 min./level,1,0,None,No,"Waves of energy roll forth from you, moving in the direction that you determine, causing all wooden objects in the path of the spell to be pushed away from you to the limit of the range. Wooden objects larger than 3 inches in diameter that are fixed firml","<p>Waves of energy roll forth from you, moving in the direction that you determine, causing all wooden objects in the path of the spell to be pushed away from you to the limit of the range. Wooden objects larger than 3 inches in diameter that are fixed fi",PFRPG Core,<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Repel Wood</p><div style=`clear: both;`></div></div><div><h5><b>School </b>transmutation; <b>Level </b>druid 6</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><div><h5><b>,1,1,0,0,0,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,plant,Pushes away wooden objects.,66,NULL,NULL,NULL,66,NULL,1650,3300,49500,http://www.d20pfsrd.com/magic/all-spells/r/repel-wood
442,Repulsion,Abjuration,NULL,NULL,"cleric 7, sorcerer/wizard 6, summoner 5, inquisitor 6",1 standard action,"V, S, F/DF (a pair of canine statuettes worth 50 gp)",1,Up to 10 ft./level,Up to 10-ft.-radius/level emanation centered on you,NULL,NULL,1 round/level,1,0,Will negates,Yes,"An invisible, mobile field surrounds you and prevents creatures from approaching you. You decide how big the field is at the time of casting (to the limit your level allows). Any creature within or entering the field must attempt a save. If it fails, it b","<p>An invisible, mobile field surrounds you and prevents creatures from approaching you. You decide how big the field is at the time of casting (to the limit your level allows). Any creature within or entering the field must attempt a save. If it fails, i",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Repulsion</p><div style=`clear: both;`></div></div><div><h5><b>School </b>abjuration; <b>Level </b>cleric 7, sorcerer/wizard 6, summoner 5, inquisitor 6</h5></div><hr/><div><h5>",1,1,0,1,1,6,6,7,NULL,NULL,NULL,NULL,NULL,5,NULL,6,NULL,NULL,NULL,NULL,6,"nobility, protection",Creatures cant approach you.,66,72,45,96,45,50,1175,2300,36250,http://www.d20pfsrd.com/magic/all-spells/r/repulsion
443,Resilient Sphere,Evocation,NULL,force,sorcerer/wizard 4,1 standard action,"V, S, F (a crystal sphere)",0,Close (25 ft. + 5 ft./2 levels),NULL,"1-ft.-diameter/level sphere, centered around a creature",NULL,1 min./level,1,0,Reflex negates,Yes,"A globe of shimmering force encloses a creature, provided the creature is small enough to fit within the diameter of the sphere.  The sphere contains its subject for the spell's duration. The sphere functions as a wall of force, except that it can be nega","<p>A globe of shimmering force encloses a creature, provided the creature is small enough to fit within the diameter of the sphere.</p><p>The sphere contains its subject for the spell's duration. The sphere functions as a <i>wall of force</i>, except that",PFRPG Core,<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Resilient Sphere</p><div style=`clear: both;`></div></div><div><h5><b>School </b>evocation [force]; <b>Level </b>sorcerer/wizard 4</h5></div><hr/><div><h5><b>CASTING</b></h5></d,1,1,0,1,0,4,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,Force globe protects but traps one subject.,28,32,NULL,NULL,28,NULL,700,1400,21000,http://www.d20pfsrd.com/magic/all-spells/r/resilient-sphere
444,Resistance,Abjuration,NULL,NULL,"bard 0, cleric 0, druid 0, paladin 1, sorcerer/wizard 0, summoner 0, witch 0, inquisitor 0",1 standard action,"V, S, M/DF (a miniature cloak)",0,Touch,NULL,NULL,Creature touched,1 minute,0,0,Will negates (harmless),Yes (harmless),"You imbue the subject with magical energy that protects it from harm, granting it a +1 resistance bonus on saves.  Resistance can be made permanent with a permanency spell.","<p>You imbue the subject with magical energy that protects it from harm, granting it a +1 resistance bonus on saves.</p><p><i>Resistance</i> can be made permanent with a <i>permanency</i> spell.</p>",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Resistance</p><div style=`clear: both;`></div></div><div><h5><b>School </b>abjuration; <b>Level </b>bard 0, cleric 0, druid 0, paladin 1, sorcerer/wizard 0, summoner 0, witch 0,",1,1,1,0,1,0,0,0,0,NULL,0,1,NULL,0,0,0,NULL,NULL,NULL,NULL,0,NULL,Subject gains +1 on saving throws.,0,0,0,NULL,0,NULL,12,25,375,http://www.d20pfsrd.com/magic/all-spells/r/resistance
445,Resist Energy,Abjuration,NULL,NULL,"cleric 2, druid 2, paladin 2, ranger 1, sorcerer/wizard 2, alchemist 2, summoner 2, inquisitor 2",1 standard action,"V, S, DF",0,Touch,NULL,NULL,Creature touched,10 min./level,0,0,Fortitude negates (harmless),No,"yes (harmless) This abjuration grants a creature limited protection from damage of whichever one of five energy types you select: acid, cold, electricity, fire, or sonic. The subject gains resist energy 10 against the energy type chosen, meaning that each","<p>yes (harmless) This abjuration grants a creature limited <i>protection</i> from damage of whichever one of five energy types you select: acid, cold, electricity, fire, or sonic. The subject gains resist energy 10 against the energy type chosen, meaning",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Resist Energy</p><div style=`clear: both;`></div></div><div><h5><b>School </b>abjuration; <b>Level </b>cleric 2, druid 2, paladin 2, ranger 1, sorcerer/wizard 2, alchemist 2, su",1,1,0,0,1,2,2,2,2,1,NULL,2,2,2,NULL,2,NULL,NULL,NULL,NULL,2,NULL,Ignores 10 (or more) points of damage/attack from specified energy type.,6,8,6,1,1,NULL,25,50,750,http://www.d20pfsrd.com/magic/all-spells/r/resist-energy
446,Restoration,Conjuration,Healing,NULL,"cleric 4, paladin 4, alchemist 4, inquisitor 4",1 minute,"V, S, M (diamond dust worth 100 gp or 1,000 gp, see text)",1,Touch,NULL,NULL,Creature touched,Instantaneous,0,0,Will negates (harmless),Yes (harmless),"This spell functions like lesser restoration, except that it also dispels temporary negative levels or one permanent negative level. If this spell is used to dispel a permanent negative level, it has a material component of diamond dust worth 1,000 gp. Th","<p>This spell functions like <i>lesser restoration,</i> except that it also dispels temporary negative levels or one permanent negative level. If this spell is used to dispel a permanent negative level, it has a material component of diamond dust worth 1,",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Restoration</p><div style=`clear: both;`></div></div><div><h5><b>School </b>conjuration (healing); <b>Level </b>cleric 4, paladin 4, alchemist 4, inquisitor 4</h5></div><hr/><di",1,1,1,0,0,NULL,NULL,4,NULL,NULL,NULL,4,4,NULL,NULL,4,NULL,NULL,NULL,NULL,4,NULL,Restores level and ability score drains.,28,NULL,28,40,28,100,800,1500,26000,http://www.d20pfsrd.com/magic/all-spells/r/restoration
447,"Restoration, Greater",Conjuration,Healing,NULL,cleric 7,1 minute,"V, S, M (diamond dust 5,000 gp)",1,Touch,NULL,NULL,Creature touched,Instantaneous,0,0,Will negates (harmless),Yes (harmless),"This spell functions like lesser restoration, except that it dispels all permanent and temporary negative levels afflicting the healed creature. Greater restoration also dispels all magical effects penalizing the creature's abilities, cures all temporary ","<p>This spell functions like <i>lesser restoration,</i> except that it dispels all permanent and temporary negative levels afflicting the healed creature. <i>Greater restoration</i> also dispels all magical effects penalizing the creature's abilities, cur",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Restoration, Greater</p><div style=`clear: both;`></div></div><div><h5><b>School </b>conjuration (healing); <b>Level </b>cleric 7</h5></div><hr/><div><h5><b>CASTING</b></h5></di",1,1,1,0,0,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,"As restoration, plus restores all levels and ability scores.",91,NULL,NULL,NULL,91,5000,7275,9550,318250,http://www.d20pfsrd.com/magic/all-spells/r/restoration#TOC-Restoration-Greater
448,"Restoration, Lesser",Conjuration,Healing,NULL,"cleric 2, druid 2, paladin 1, inquisitor 2, alchemist 2",3 rounds,"V, S",0,Touch,NULL,NULL,Creature touched,Instantaneous,0,0,Will negates (harmless),Yes (harmless),"Lesser restoration dispels any magical effects reducing one of the subject's ability scores or cures 1d4 points of temporary ability damage to one of the subject's ability scores. It also eliminates any fatigue suffered by the character, and improves an e","<p><i>Lesser restoration</i> dispels any magical effects reducing one of the subject's ability scores or cures 1d4 points of temporary ability damage to one of the subject's ability scores. It also eliminates any fatigue suffered by the character, and imp",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Restoration, Lesser</p><div style=`clear: both;`></div></div><div><h5><b>School </b>conjuration (healing); <b>Level </b>cleric 2, druid 2, paladin 1, inquisitor 2, alchemist 2</",1,1,0,0,0,NULL,NULL,2,2,NULL,NULL,1,2,NULL,NULL,2,NULL,NULL,NULL,NULL,2,NULL,Dispels magical ability penalty or repairs 1d4 ability damage.,6,NULL,6,1,1,NULL,25,50,750,http://www.d20pfsrd.com/magic/all-spells/r/restoration#TOC-Restoration-Lesser
449,Resurrection,Conjuration,Healing,NULL,"cleric 7, witch 8",1 minute,"V, S, M (diamond worth 10,000 gp), DF",1,Touch,NULL,NULL,Dead creature touched,Instantaneous,0,0,None; see text,Yes (harmless),"This spell functions like raise dead, except that you are able to restore life and complete strength to any deceased creature.  The condition of the remains is not a factor. So long as some small portion of the creature's body still exists, it can be resu","<p>This spell functions like <i>raise dead,</i> except that you are able to restore life and complete strength to any deceased creature.</p><p>The condition of the remains is not a factor. So long as some small portion of the creature's body still exists,",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Resurrection</p><div style=`clear: both;`></div></div><div><h5><b>School </b>conjuration (healing); <b>Level </b>cleric 7, witch 8</h5></div><hr/><div><h5><b>CASTING</b></h5></d",1,1,1,0,1,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,7,"resurrection, divine",Fully restore dead subject.,91,NULL,NULL,NULL,91,10000,12275,14550,568250,http://www.d20pfsrd.com/magic/all-spells/r/resurrection
450,Reverse Gravity,Transmutation,NULL,NULL,"druid 8, sorcerer/wizard 7",1 standard action,"V, S, M/DF (lodestone and iron filings)",0,Medium (100 ft. + 10 ft./level),Up to one 10-ft. cube/level,NULL,NULL,1 round/level,1,1,None; see text,No,"This spell reverses gravity in an area, causing unattached objects and creatures in the area to fall upward and reach the top of the area in 1 round. If a solid object (such as a ceiling) is encountered in this fall, falling objects and creatures strike i","<p>This spell reverses gravity in an area, causing unattached objects and creatures in the area to fall upward and reach the top of the area in 1 round. If a solid object (such as a ceiling) is encountered in this fall, falling objects and creatures strik",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Reverse Gravity</p><div style=`clear: both;`></div></div><div><h5><b>School </b>transmutation; <b>Level </b>druid 8, sorcerer/wizard 7</h5></div><hr/><div><h5><b>CASTING</b></h5",1,1,1,0,1,7,7,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,void,Objects and creatures fall upward.,91,98,NULL,NULL,91,NULL,2275,4550,68250,http://www.d20pfsrd.com/magic/all-spells/r/reverse-gravity
451,Righteous Might,Transmutation,NULL,NULL,"cleric 5, inquisitor 5",1 standard action,"V, S, DF",0,Personal,NULL,NULL,You,1 round/level,1,0,None,No,"Your height immediately doubles, and your weight increases by a factor of eight. This increase changes your size category to the next larger one. You gain a +4 size bonus to Strength and Constitution and take a -2 penalty to your Dexterity. You gain a +2 ","<p>Your height immediately doubles, and your weight increases by a factor of eight. This increase changes your size category to the next larger one. You gain a +4 size bonus to Strength and Constitution and take a -2 penalty to your Dexterity. You gain a ",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Righteous Might</p><div style=`clear: both;`></div></div><div><h5><b>School </b>transmutation; <b>Level </b>cleric 5, inquisitor 5</h5></div><hr/><div><h5><b>CASTING</b></h5></d",1,1,0,0,1,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,5,"glory, growth, strength","Your size increases, and you gain bonuses in combat.",45,NULL,NULL,65,45,NULL,1125,2250,33750,http://www.d20pfsrd.com/magic/all-spells/r/righteous-might
452,Rope Trick,Transmutation,NULL,NULL,sorcerer/wizard 2,1 standard action,"V, S, M (powdered corn and a twisted loop of parchment)",0,Touch,NULL,NULL,One touched piece of rope from 5 ft. to 30 ft. long,1 hour/level,1,0,None,No,"When this spell is cast upon a piece of rope from 5 to 30 feet long, one end of the rope rises into the air until the whole rope hangs perpendicular to the ground, as if affixed at the upper end.  The upper end is, in fact, fastened to an extradimensional","<p>When this spell is cast upon a piece of rope from 5 to 30 feet long, one end of the rope rises into the air until the whole rope hangs perpendicular to the ground, as if affixed at the upper end.</p><p>The upper end is, in fact, fastened to an extradim",PFRPG Core,<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Rope Trick</p><div style=`clear: both;`></div></div><div><h5><b>School </b>transmutation; <b>Level </b>sorcerer/wizard 2</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><d,1,1,1,0,0,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,As many as eight creatures hide in extradimensional space.,6,8,NULL,NULL,6,NULL,150,300,4500,http://www.d20pfsrd.com/magic/all-spells/r/rope-trick
453,Rusting Grasp,Transmutation,NULL,NULL,druid 4,1 standard action,"V, S, DF",0,Touch,NULL,NULL,One nonmagical ferrous object (or the volume of the object within 3 ft. of the touched point) or one ferrous creature,See text,0,0,None,No,"Any iron or iron alloy item you touch crumbles into rust. If the item is so large that it cannot fit within a 3-foot radius, a 3-footradius volume of the metal is rusted and destroyed. Magic items made of metal are immune to this spell.  You may employ ru","<p>Any iron or iron alloy item you touch crumbles into rust. If the item is so large that it cannot fit within a 3-foot radius, a 3-footradius volume of the metal is rusted and destroyed. Magic items made of metal are immune to this spell.</p><p>You may e",PFRPG Core,<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Rusting Grasp</p><div style=`clear: both;`></div></div><div><h5><b>School </b>transmutation; <b>Level </b>druid 4</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><div><h5>,1,1,0,0,1,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,Your touch corrodes iron and alloys.,28,NULL,NULL,NULL,28,NULL,700,1400,21000,http://www.d20pfsrd.com/magic/all-spells/r/rusting-grasp
454,Sanctuary,Abjuration,NULL,NULL,"cleric 1, inquisitor 1",1 standard action,"V, S, DF",0,Touch,NULL,NULL,Creature touched,1 round/level,0,0,Will negates,No,"Any opponent attempting to directly attack the warded creature, even with a targeted spell, must attempt a Will save. If the save succeeds, the opponent can attack normally and is unaffected by that casting of the spell. If the save fails, the opponent ca","<p>Any opponent attempting to directly attack the warded creature, even with a targeted spell, must attempt a Will save. If the save succeeds, the opponent can attack normally and is unaffected by that casting of the spell. If the save fails, the opponent",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Sanctuary</p><div style=`clear: both;`></div></div><div><h5><b>School </b>abjuration; <b>Level </b>cleric 1, inquisitor 1</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><",1,1,0,0,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,"freedom, protection","Opponents can't attack you, and you can't attack.",1,NULL,NULL,1,1,NULL,25,50,750,http://www.d20pfsrd.com/magic/all-spells/s/sanctuary
455,Scare,Necromancy,NULL,"fear, mind-affecting, emotion","bard 2, sorcerer/wizard 2, witch 2, antipaladin 2",1 standard action,"V, S, M (a bone from an undead creature)",0,Medium (100 ft. + 10 ft./level),NULL,NULL,"One living creature per three levels, no two of which can be more than 30 ft. apart",1 round/level or 1 round; see text for cause fear,0,0,Will partial,Yes,"This spell functions like cause fear, except that it causes all targeted creatures of less than 6 HD to become frightened.","<p>This spell functions like <i>cause fear</i>, except that it causes all targeted creatures of less than 6 HD to become frightened.</p>",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Scare</p><div style=`clear: both;`></div></div><div><h5><b>School </b>necromancy [fear, mind-affecting, emotion]; <b>Level </b>bard 2, sorcerer/wizard 2, witch 2, antipaladin 2<",1,1,1,0,0,2,2,NULL,NULL,NULL,2,NULL,NULL,NULL,2,NULL,NULL,2,NULL,NULL,2,NULL,Panics creatures of less than 6 HD.,6,8,6,8,6,NULL,150,300,4500,http://www.d20pfsrd.com/magic/all-spells/s/scare
